,SMILES,bace,esol,logD
0,COC1=CC(C)=CC=C1CN(CC1=CC=CC=C1F)CC(C)C,,,
1,CCOC1CC(N(C)C2=NN=C(C3=CC=C(C4=CC=C(F)C=C4)S3)N2CC(=O)N(C)C)C1(C)C,,,
2,CC(C(=O)NC1=CC=NC(C(=O)OC(C)(C)C)=C1)C1CCC(=O)N1,,,
3,O=C(NC1=CC(F)=CC=C1OC1=CC=CC=C1)N1CCCCO1,,,
4,COC(=O)C1=CC2=CC(NC(=O)CCC3=NN=C[NH]3)=CC=C2S1,,,
5,O=C(CNC(=O)NC1CCOC2(CCOCC2)C1)NCC(F)F,,,
6,O=C1C2=C(N=CN1CC=CC1=CC=C(Br)C=C1)N(C1CC1)N=N2,,,
7,COC(=O)C1=CC2=CC=CC(NC(=O)N3CC(C)OC4(CCOC4C)C3)=C2S1,,,
8,CC1=C(C(=O)N2CCC(CN(C)C(=O)C3=NN(C)C(C)=C3Cl)CC2)ON=C1,,,
9,COC1=CC=C(CCC2=NN=C(C(C)(C)NC(=O)OC(C)(C)C)O2)C=C1Cl,,,
10,CC(C)C[C@@H]1C[C@H]1NS(=O)(=O)CC1(CC#N)CC1,,,
11,CN(C)C1=NC=C(C(=O)N(C)C2=C[NH]N=C2)C=C1Cl,,,
12,O=C(CC1=CSC=C1)NCC1CCN(C2CCCN(C3=CC=CC=C3)C2=O)C1,,,
13,COC1=CC(Br)=CC(NC(=O)NCC(=O)N2CCNCC2)=C1,,,
14,CN(C)C1=NC2=CC(NCC3=CC=C4C=CC(F)=C(F)C4=N3)=CC=C2O1,,,
15,CCC1=C(C)C=C(C(=O)NCC2(O)CN(C(C)C3=CC=C(F)C=C3F)C2)S1,,,
16,CC(C)(C)OC(=O)N1C[C@H]2[C@@H](C1)[C@@H]2C(=O)NCC(O)(C1=CC=CC=C1)C(F)(F)F,,,
17,N#CC(C1=CC=CC(Cl)=C1)N1CCN(CC2=CC=C(Cl)C3=CC=CN=C23)CC1,,,
18,CCSC1=CC=CC(CNC(CC)(CC)CO)=C1,,,
19,CN1C(COC2=CC=C(Cl)C=C2)=NN=C1SC1CCN(C2=CC(OC(F)(F)F)=CC=C2)C1=O,,,
20,CC1=CC=C(N(C)CC2=CN3C=CC=C(Br)C3=N2)C=C1Cl,,,
21,CC1=C2C=C(C(=O)N3C(C)CNC(C)C3C)[NH]C2=CC=C1F,,,
22,CC1=CC=CC2=NC(CN3C=C(C4(O)CCCCC4)N=N3)=CN12,,,
23,CC1=CC=CC(C2=CCN(C(=O)C3=CC(S(=O)(=O)N4CCOCC4)=CN3C)CC2)=C1C,,,
24,CN(C)C(=O)C1=CC=C(NC(=O)C2=CC=NC(C3CC3)=C2)C=N1,,,
25,NC1=NC(CN(CC2=CC=CC=C2)CC(O)C2=CSC=C2)=NC(NC2=CC=C(F)C=C2)=N1,,,
