,SMILES,esol,logD,bace
0,COC1=CC(C)=CC=C1CN(CC1=CC=CC=C1F)CC(C)C,-4.5876994,0.16463181,4.16717
1,CCOC1CC(N(C)C2=NN=C(C3=CC=C(C4=CC=C(F)C=C4)S3)N2CC(=O)N(C)C)C1(C)C,-4.6630893,0.47089818,4.2937202
2,CC(C(=O)NC1=CC=NC(C(=O)OC(C)(C)C)=C1)C1CCC(=O)N1,-4.1702075,0.60964924,4.3625355
3,O=C(NC1=CC(F)=CC=C1OC1=CC=CC=C1)N1CCCCO1,-4.2415576,-0.46799698,4.3996077
4,COC(=O)C1=CC2=CC(NC(=O)CCC3=NN=C[NH]3)=CC=C2S1,-4.4506745,0.42477122,4.394053
5,O=C(CNC(=O)NC1CCOC2(CCOCC2)C1)NCC(F)F,-4.437839,0.9896624,4.487277
6,O=C1C2=C(N=CN1CC=CC1=CC=C(Br)C=C1)N(C1CC1)N=N2,-4.6881294,0.10831765,4.4683075
7,COC(=O)C1=CC2=CC=CC(NC(=O)N3CC(C)OC4(CCOC4C)C3)=C2S1,-4.5492706,0.5957467,4.471546
8,CC1=C(C(=O)N2CCC(CN(C)C(=O)C3=NN(C)C(C)=C3Cl)CC2)ON=C1,-4.736088,1.450943,4.6537743
9,COC1=CC=C(CCC2=NN=C(C(C)(C)NC(=O)OC(C)(C)C)O2)C=C1Cl,-4.835271,1.1297994,4.180994
10,CC(C)C[C@@H]1C[C@H]1NS(=O)(=O)CC1(CC#N)CC1,-3.7630165,0.7475208,3.761433
11,CN(C)C1=NC=C(C(=O)N(C)C2=C[NH]N=C2)C=C1Cl,-3.4990842,0.2832066,4.0867333
12,O=C(CC1=CSC=C1)NCC1CCN(C2CCCN(C3=CC=CC=C3)C2=O)C1,-4.6768126,0.14795753,4.888382
13,COC1=CC(Br)=CC(NC(=O)NCC(=O)N2CCNCC2)=C1,-4.701192,-0.49599454,4.200383
14,CN(C)C1=NC2=CC(NCC3=CC=C4C=CC(F)=C(F)C4=N3)=CC=C2O1,-4.942896,0.81211716,3.7219663
15,CCC1=C(C)C=C(C(=O)NCC2(O)CN(C(C)C3=CC=C(F)C=C3F)C2)S1,-4.8088093,0.37279764,3.839785
16,CC(C)(C)OC(=O)N1C[C@H]2[C@@H](C1)[C@@H]2C(=O)NCC(O)(C1=CC=CC=C1)C(F)(F)F,-4.5541196,1.1359026,4.4121284
17,N#CC(C1=CC=CC(Cl)=C1)N1CCN(CC2=CC=C(Cl)C3=CC=CN=C23)CC1,-5.0053053,0.32060292,4.8300314
18,CCSC1=CC=CC(CNC(CC)(CC)CO)=C1,-3.528346,0.10588192,4.132777
19,CN1C(COC2=CC=C(Cl)C=C2)=NN=C1SC1CCN(C2=CC(OC(F)(F)F)=CC=C2)C1=O,-5.176119,1.3329287,4.584258
20,CC1=CC=C(N(C)CC2=CN3C=CC=C(Br)C3=N2)C=C1Cl,-4.531871,0.20730856,4.0447288
21,CC1=C2C=C(C(=O)N3C(C)CNC(C)C3C)[NH]C2=CC=C1F,-4.6585217,0.6236852,3.2133036
22,CC1=CC=CC2=NC(CN3C=C(C4(O)CCCCC4)N=N3)=CN12,-4.4884706,-0.20468795,4.0655727
23,CC1=CC=CC(C2=CCN(C(=O)C3=CC(S(=O)(=O)N4CCOCC4)=CN3C)CC2)=C1C,-4.6756334,0.44788796,4.524776
24,CN(C)C(=O)C1=CC=C(NC(=O)C2=CC=NC(C3CC3)=C2)C=N1,-4.209217,0.40659395,4.619808
25,NC1=NC(CN(CC2=CC=CC=C2)CC(O)C2=CSC=C2)=NC(NC2=CC=C(F)C=C2)=N1,-5.2297287,-0.005408552,4.92759
26,CC(C)(C)OC(=O)N1CCC(CC(=O)N2CCOC3=CC=NC=C32)C2=CC=CC=C21,-4.58429,1.0432131,4.873624
27,CCN(CC1CCN(C(=O)CC2(C)CC2)CC1)C(=O)C1=NSC2=CC=CC=C12,-4.832344,0.31433073,4.6113005
28,CCC(OC1=CC=CC=C1C)C(=O)NCC1(NC(=O)C2=CCCC2)CCCC1,-4.963428,0.66577893,4.2578278
29,COC1=CC=C(C2=N[NH]C=C2C(=O)NC(C)C2CCCNC2)C=C1,-4.392536,-0.57539856,4.2614584
30,CCS(=O)(=O)C1=CC(Cl)=CC(CNC(=O)C2=CN=CC(OC)=N2)=C1,-4.438677,0.8978379,4.3046465
31,CC1=CC=CC=C1N(C)C(=O)CC1=CC=CC=C1CO,-3.8609965,0.49234876,4.2969127
32,CC(C)CC(C)N(C)C(=O)CSC(C)C(=O)OC(C)(C)C,-4.0426483,0.56791645,3.5089178
33,CC(OC(=O)C1=CC=C(OC2=CC=CC(F)=C2C#N)C=C1)C(=O)C1=C[NH]C2=NC=CC=C12,-4.712235,0.74932903,4.5816126
34,CC1=CC=C(SC2=NSC(NC(=O)NCC3=CC=NC=C3OCC3CCOC3)=N2)C=C1,-5.3671746,-0.077435605,5.0554476
35,C1=NC(C2CC2)=CC(NC2=CN(C3CCCC3)N=C2)=N1,-4.060111,-1.0292215,4.473012
36,CC1(OCC(=O)N2C3=CC=CC=C3CC3CCCCC32)CCOCC1,-4.483691,0.29642478,4.495226
37,COC1=NC(C)=C(Br)C=C1C(=O)NC(C1=CC=C(Cl)C=C1)C1CC1C,-4.789945,0.3543134,4.158257
38,CCCC(O)(CCC)CS(=O)(=O)C1=CC=C(F)C=C1Cl,-3.9237921,0.73246986,3.5959516
39,CSC1=CC=NC(NC2(CNC(=O)CC3=CSC=N3)CCC2)=N1,-4.55395,0.5552562,4.23498
40,O=C(COCC1CCCC1)N[C@@H]1CN(C(=O)C2=CC(=O)C3=CC=CC=C3O2)C[C@@H]1O,-5.079854,-0.031004813,4.7411666
41,O=C(NCCC1=NN=C[NH]1)NC1=NSN=C1,-3.9858499,-0.30471516,4.051065
42,CO[C@@H]1CN(CC2=NOC=C2)C[C@H]1NC(=O)CCN1C=CC2=CC=CC=C21,-4.9490438,0.19034365,4.678606
43,CC1CCCCC1(CNC(=O)C1=NN(C)N=N1)NC(=O)CCC1=CN=CN=C1,-4.261568,-0.44508305,4.624429
44,CC1CCC2=N[NH]C(C(=O)NCC(C)(C)CN(C)C(=O)[C@@H]3C[C@H]3C3=CC=CO3)=C2C1,-4.399294,0.46462268,4.37821
45,CC1=NC=CN=C1C(C)NC(=O)NCCC1=CC=CC(Cl)=C1Cl,-4.365884,-0.108644865,4.3197436
46,CNC1=CC(C)=NC(N2CCC(O)(CC3=CC=CC=C3C)CC2)=N1,-4.4286404,0.3047391,4.185478
